Marker Name,Description,In,Out,Duration,Marker Type
卡点 001,,00:00:00:06,00:00:00:06,00:00:00:00,Comment
卡点 002,,00:00:00:20,00:00:00:20,00:00:00:00,Comment
卡点 003,,00:00:01:04,00:00:01:04,00:00:00:00,Comment
卡点 004,,00:00:01:18,00:00:01:18,00:00:00:00,Comment
卡点 005,,00:00:02:15,00:00:02:15,00:00:00:00,Comment
卡点 006,,00:00:02:29,00:00:02:29,00:00:00:00,Comment
卡点 007,,00:00:03:27,00:00:03:27,00:00:00:00,Comment
卡点 008,,00:00:04:25,00:00:04:25,00:00:00:00,Comment
卡点 009,,00:00:06:07,00:00:06:07,00:00:00:00,Comment
卡点 010,,00:00:06:21,00:00:06:21,00:00:00:00,Comment
卡点 011,,00:00:07:18,00:00:07:18,00:00:00:00,Comment
卡点 012,,00:00:08:16,00:00:08:16,00:00:00:00,Comment
卡点 013,,00:00:09:00,00:00:09:00,00:00:00:00,Comment
卡点 014,,00:00:10:11,00:00:10:11,00:00:00:00,Comment
卡点 015,,00:00:13:04,00:00:13:04,00:00:00:00,Comment
卡点 016,,00:00:14:29,00:00:14:29,00:00:00:00,Comment
卡点 017,,00:00:15:13,00:00:15:13,00:00:00:00,Comment
卡点 018,,00:00:15:27,00:00:15:27,00:00:00:00,Comment
卡点 019,,00:00:16:12,00:00:16:12,00:00:00:00,Comment
卡点 020,,00:00:16:25,00:00:16:25,00:00:00:00,Comment
卡点 021,,00:00:17:19,00:00:17:19,00:00:00:00,Comment
卡点 022,,00:00:18:19,00:00:18:19,00:00:00:00,Comment
卡点 023,,00:00:19:18,00:00:19:18,00:00:00:00,Comment
卡点 024,,00:00:20:02,00:00:20:02,00:00:00:00,Comment
卡点 025,,00:00:20:16,00:00:20:16,00:00:00:00,Comment
卡点 026,,00:00:21:14,00:00:21:14,00:00:00:00,Comment
卡点 027,,00:00:22:11,00:00:22:11,00:00:00:00,Comment
卡点 028,,00:00:22:25,00:00:22:25,00:00:00:00,Comment
卡点 029,,00:00:23:09,00:00:23:09,00:00:00:00,Comment
卡点 030,,00:00:24:06,00:00:24:06,00:00:00:00,Comment
卡点 031,,00:00:25:15,00:00:25:15,00:00:00:00,Comment
卡点 032,,00:00:25:28,00:00:25:28,00:00:00:00,Comment
卡点 033,,00:00:26:29,00:00:26:29,00:00:00:00,Comment
卡点 034,,00:00:27:27,00:00:27:27,00:00:00:00,Comment
